name,amenity,shop,tourism,osm_id,osm_type,geometry,opening_hours,reviews,rating,business_type,open_time,close_time,duration_hours
Powex,fuel,,,11935384514,nodes,POINT (-5.4156816 6.7326364),00:00-23:59,327,2.1,fuel,00:00:00,23:59:00,23.983333333333334
Lavage Auto,car_wash,,,3936374511,nodes,POINT (-4.0498096 5.3222463),08:00-18:00,379,2.7,car_wash,08:00:00,18:00:00,10.0
Orange Money,bureau_de_change,,,3931437128,nodes,POINT (-4.0581982 5.3237751),10:00-17:00,140,4.4,bureau_de_change,10:00:00,17:00:00,7.0
Lavage Auto,car_wash,,,3931437125,nodes,POINT (-4.0570029 5.3237066),09:00-19:00,125,4.4,car_wash,09:00:00,19:00:00,10.0
Restaurant,restaurant,,,3930671817,nodes,POINT (-4.0548259 5.3222087),12:00-21:00,114,2.8,restaurant,12:00:00,21:00:00,9.0
Restaurant,restaurant,,,3930671820,nodes,POINT (-4.0550474 5.3223437),12:00-21:00,71,1.9,restaurant,12:00:00,21:00:00,9.0
Restaurant,restaurant,,,3930720335,nodes,POINT (-4.0553834 5.3225531),12:00-21:00,377,4.4,restaurant,12:00:00,21:00:00,9.0
Shell,fuel,,,3948675951,nodes,POINT (-6.4126919 9.8920478),00:00-23:59,52,2.6,fuel,00:00:00,23:59:00,23.983333333333334
Allocodrome,restaurant,,,11933844528,nodes,POINT (-5.9409671 6.1345866),11:00-23:00,346,2.8,restaurant,11:00:00,23:00:00,12.0
Bank,bank,,,6176460485,nodes,POINT (-6.480897 9.5201092),09:00-16:00,279,4.4,bank,09:00:00,16:00:00,7.0
Fuel Station,fuel,,,6176434086,nodes,POINT (-6.4372463 9.1524566),00:00-23:59,44,4.0,fuel,00:00:00,23:59:00,23.983333333333334
Fuel Station,fuel,,,6176460585,nodes,POINT (-6.2536637 8.9464884),00:00-23:59,302,1.1,fuel,00:00:00,23:59:00,23.983333333333334
Star Oil,fuel,,,6176460586,nodes,POINT (-6.2573512 8.7733269),00:00-23:59,216,4.1,fuel,00:00:00,23:59:00,23.983333333333334
Star Oil,fuel,,,6176460785,nodes,POINT (-6.2029385 8.5439058),00:00-23:59,16,1.8,fuel,00:00:00,23:59:00,23.983333333333334
Tantie Aba,restaurant,,,6176215185,nodes,POINT (-4.0076937 5.4158576),10:00-22:00,15,3.7,restaurant,10:00:00,22:00:00,12.0
Orange Money,bureau_de_change,,,3936405763,nodes,POINT (-4.0511565 5.3220523),11:00-17:00,119,2.4,bureau_de_change,11:00:00,17:00:00,6.0
Village dalaba,food_court,,,6190333371,nodes,POINT (-6.4797087 9.5205893),10:00-22:00,308,3.0,food_court,10:00:00,22:00:00,12.0
Maquis Espace,pub,,,6190333370,nodes,POINT (-6.4792125 9.5197256),20:00-00:00,13,2.6,pub,20:00:00,00:00:00,4.0
Djetiguila,pub,,,6190333466,nodes,POINT (-6.4853816 9.5213591),16:00-02:00,332,1.3,pub,16:00:00,02:00:00,10.0
Tchapalo Doté,pub,,,6190333476,nodes,POINT (-6.4857906 9.5190405),17:00-01:00,359,4.3,pub,17:00:00,01:00:00,8.0
Terminus,pub,,,6190333514,nodes,POINT (-6.4872806 9.5187032),16:00-01:00,279,3.7,pub,16:00:00,01:00:00,9.0
Cabaret,pub,,,6190333539,nodes,POINT (-6.4882904 9.5191391),20:00-00:00,214,1.7,pub,20:00:00,00:00:00,4.0
Maquis Ecran Bleu,pub,,,6190333554,nodes,POINT (-6.4846299 9.5169481),19:00-02:00,229,1.9,pub,19:00:00,02:00:00,7.0
NSIA Banque,bank,,,3931422901,nodes,POINT (-4.0594763 5.3238685),09:00-16:00,301,2.4,bank,09:00:00,16:00:00,7.0
Restaurant,restaurant,,,3931422905,nodes,POINT (-4.0586354 5.3236494),11:00-21:00,142,2.1,restaurant,11:00:00,21:00:00,10.0
Maquis Resto les Délices de Delphine,pub,,,11934906169,nodes,POINT (-4.1855563 5.3591298),18:00-02:00,414,3.9,pub,18:00:00,02:00:00,8.0
Restaurant,restaurant,,,3930702864,nodes,POINT (-4.0540374 5.3223028),11:00-21:00,445,4.6,restaurant,11:00:00,21:00:00,10.0
Station Corlay,fuel,,,3929740809,nodes,POINT (-3.7406877 5.2084034),00:00-23:59,3,2.5,fuel,00:00:00,23:59:00,23.983333333333334
Unknown,fuel,,,11286572039,nodes,POINT (-6.0559067 6.9258632),00:00-23:59,357,3.3,fuel,00:00:00,23:59:00,23.983333333333334
Unknown,restaurant,,,3936374515,nodes,POINT (-4.0511984 5.3222606),12:00-21:00,174,1.3,restaurant,12:00:00,21:00:00,9.0
Mtn Mobile Money,bureau_de_change,,,3936421048,nodes,POINT (-4.0525367 5.322125),11:00-18:00,142,3.9,bureau_de_change,11:00:00,18:00:00,7.0
Mtn Mobile Money,bureau_de_change,,,3936423732,nodes,POINT (-4.0536631 5.3220384),09:00-18:00,79,1.1,bureau_de_change,09:00:00,18:00:00,9.0
Orange Money,bureau_de_change,,,3936423733,nodes,POINT (-4.0536134 5.32204),11:00-19:00,110,3.3,bureau_de_change,11:00:00,19:00:00,8.0
Flooz,bureau_de_change,,,3936423730,nodes,POINT (-4.053363 5.3220547),09:00-19:00,490,2.4,bureau_de_change,09:00:00,19:00:00,10.0
Tranfert d'Argent,bureau_de_change,,,3930877770,nodes,POINT (-4.0563896 5.3234357),11:00-17:00,390,1.1,bureau_de_change,11:00:00,17:00:00,6.0
La Source du Guemon,restaurant,,,3930877760,nodes,POINT (-4.0566062 5.3234507),12:00-23:00,172,2.7,restaurant,12:00:00,23:00:00,11.0
Mondial Beach,food_court,,,3916609200,nodes,POINT (-3.7571684 5.1981848),10:00-23:00,194,2.7,food_court,10:00:00,23:00:00,13.0
Total Station,fuel,,,6178203185,nodes,POINT (-6.0487889 7.4329189),00:00-23:59,49,2.4,fuel,00:00:00,23:59:00,23.983333333333334
Unknown,fuel,,,3898095935,nodes,POINT (-5.5886045 9.2970176),00:00-23:59,433,4.6,fuel,00:00:00,23:59:00,23.983333333333334
Station Service First Pétroleum,fuel,,,4046073279,nodes,POINT (-4.1051261 5.3282219),00:00-23:59,309,1.6,fuel,00:00:00,23:59:00,23.983333333333334
Unknown,fuel,,,12290827511,nodes,POINT (-6.7152784 7.4390851),00:00-23:59,135,1.9,fuel,00:00:00,23:59:00,23.983333333333334
Fuel station,fuel,,,6173435985,nodes,POINT (-7.3232882 9.544719),00:00-23:59,413,3.3,fuel,00:00:00,23:59:00,23.983333333333334
Station Service Corlay,fuel,,,4046808829,nodes,POINT (-4.0914569 5.3267987),00:00-23:59,22,3.1,fuel,00:00:00,23:59:00,23.983333333333334
Dispensaire Urbain de Dioulakro,clinic,,,7722307385,nodes,POINT (-3.4973745 6.7259274),11:00-19:00,373,3.1,clinic,11:00:00,19:00:00,8.0
Banque d'Abidjan,bank,,,6153169729,nodes,POINT (-3.8892192 5.3573481),08:00-14:00,274,1.1,bank,08:00:00,14:00:00,6.0
Unknown,marketplace,,,7603151603,nodes,POINT (-4.9978639 5.2627111),09:00-18:00,498,1.2,marketplace,09:00:00,18:00:00,9.0
Pharmacie Bethy,pharmacy,,,11932843067,nodes,POINT (-4.765427 5.8666972),09:00-20:00,472,1.9,pharmacy,09:00:00,20:00:00,11.0
Moekoua,restaurant,,,6153169730,nodes,POINT (-3.888566 5.3574443),12:00-22:00,193,3.8,restaurant,12:00:00,22:00:00,10.0
Cave vip,pub,,,6154456975,nodes,POINT (-6.4396385 6.8918696),20:00-00:00,40,1.6,pub,20:00:00,00:00:00,4.0
After work,restaurant,,,6154457225,nodes,POINT (-6.440901 6.8957704),11:00-21:00,282,3.5,restaurant,11:00:00,21:00:00,10.0
Chez Aline,restaurant,,,8382136002,nodes,POINT (-5.2733441 6.8277669),11:00-23:00,424,2.0,restaurant,11:00:00,23:00:00,12.0
Corlay,fuel,,,3840345780,nodes,POINT (-3.4901405 6.7297126),00:00-23:59,185,2.7,fuel,00:00:00,23:59:00,23.983333333333334
Petroci,fuel,,,4001022026,nodes,POINT (-3.5050593 6.7415693),00:00-23:59,295,4.5,fuel,00:00:00,23:59:00,23.983333333333334
Maquis Espace Gbeke,restaurant,,,8381801317,nodes,POINT (-5.0264428 7.6789745),11:00-23:00,35,1.7,restaurant,11:00:00,23:00:00,12.0
Garbadrome,restaurant,,,3862899461,nodes,POINT (-4.0141944 5.423619),11:00-21:00,23,1.3,restaurant,11:00:00,21:00:00,10.0
Total Energies,fuel,,,3840310625,nodes,POINT (-3.4894273 6.7299936),00:00-23:59,116,3.5,fuel,00:00:00,23:59:00,23.983333333333334
Afriqoil,fuel,,,6466420561,nodes,POINT (-3.5055722 6.7424753),00:00-23:59,395,3.3,fuel,00:00:00,23:59:00,23.983333333333334
Maternité Privée Liberté,doctors,,,5250615829,nodes,POINT (-5.0266904 7.7047361),09:00-19:00,148,4.1,doctors,09:00:00,19:00:00,10.0
Maternité Notre-Dame de la Visitation,doctors,,,5552256548,nodes,POINT (-5.0475264 7.6754606),10:00-17:00,40,4.5,doctors,10:00:00,17:00:00,7.0
Maternité Privée Touré,clinic,,,6621036046,nodes,POINT (-4.9927638 7.7141427),11:00-18:00,437,4.5,clinic,11:00:00,18:00:00,7.0
Western Union,money_transfer,,,5961173807,nodes,POINT (-4.0355618 5.4328116),08:00-16:00,119,4.0,money_transfer,08:00:00,16:00:00,8.0
Maquis Formule 1,pub,,,11926964369,nodes,POINT (-5.2598458 6.8123294),19:00-01:00,51,2.9,pub,19:00:00,01:00:00,6.0
Unknown,taxi,,,12286414993,nodes,POINT (-7.6449536 7.5497152),09:00-18:00,142,1.7,taxi,09:00:00,18:00:00,9.0
Unknown,restaurant,,,3961306490,nodes,POINT (-5.5875865 5.1046601),12:00-21:00,232,1.1,restaurant,12:00:00,21:00:00,9.0
Restaurant Oasis sous Bois,restaurant,,,11195624095,nodes,POINT (-4.0597036 5.5182027),11:00-23:00,325,4.8,restaurant,11:00:00,23:00:00,12.0
NSIA,bank,,,11195624134,nodes,POINT (-4.0510746 5.4981763),09:00-16:00,427,3.4,bank,09:00:00,16:00:00,7.0
Maquis Restau chez Suzy,restaurant,,,11921737896,nodes,POINT (-4.0930727 5.3148064),10:00-22:00,186,1.3,restaurant,10:00:00,22:00:00,12.0
