name,amenity,shop,tourism,osm_id,osm_type,geometry,reviews,rating
Powex,fuel,None,None,11935384514,nodes,POINT (-5.4156816 6.7326364),157,1.7
ASA Formation,college,None,None,3936374505,nodes,POINT (-4.050953 5.3223513),113,2.5
Lavage Auto,car_wash,None,None,3936374511,nodes,POINT (-4.0498096 5.3222463),57,1.7
Orange Money,bureau_de_change,None,None,3931437128,nodes,POINT (-4.0581982 5.3237751),497,1.5
Lavage Auto,car_wash,None,None,3931437125,nodes,POINT (-4.0570029 5.3237066),426,4.8
Restaurant,restaurant,None,None,3930671817,nodes,POINT (-4.0548259 5.3222087),341,2.0
Restaurant,restaurant,None,None,3930671820,nodes,POINT (-4.0550474 5.3223437),356,1.3
Restaurant,restaurant,None,None,3930720335,nodes,POINT (-4.0553834 5.3225531),230,4.9
Shell,fuel,None,None,3948675951,nodes,POINT (-6.4126919 9.8920478),455,3.2
Allocodrome,restaurant,None,None,11933844528,nodes,POINT (-5.9409671 6.1345866),220,3.9
Orphelinat de filles,community_centre,None,None,6178117485,nodes,POINT (-3.7356382 5.1968253),62,3.0
Espace Doriane,events_venue,None,None,11933813728,nodes,POINT (-5.9472714 6.1582557),483,1.5
Bank,bank,None,None,6176460485,nodes,POINT (-6.480897 9.5201092),292,1.7
Fuel Station,fuel,None,None,6176434086,nodes,POINT (-6.4372463 9.1524566),237,3.7
Fuel Station,fuel,None,None,6176460585,nodes,POINT (-6.2536637 8.9464884),358,1.4
Star Oil,fuel,None,None,6176460586,nodes,POINT (-6.2573512 8.7733269),375,1.9
Star Oil,fuel,None,None,6176460785,nodes,POINT (-6.2029385 8.5439058),380,3.8
Tantie Aba,restaurant,None,None,6176215185,nodes,POINT (-4.0076937 5.4158576),274,1.7
Église de Pentecôte Internationale de Côte d'Ivoire,place_of_worship,None,None,7612890303,nodes,POINT (-4.833322 5.9042872),358,1.9
Poste de Contrôle de la Gendarmerie,police,None,None,7059751685,nodes,POINT (-5.2133875 9.5600159),104,1.0
Orange Money,bureau_de_change,None,None,3936405763,nodes,POINT (-4.0511565 5.3220523),416,3.2
Mosquée du Koweit,place_of_worship,None,None,3936405762,nodes,POINT (-4.0510134 5.3220854),125,1.9
Village dalaba,food_court,None,None,6190333371,nodes,POINT (-6.4797087 9.5205893),238,4.3
